Valuation ($B),Country,Industry,Investor 1,Investor 2,Investor 3,Investor 4,Days Since Joined
1.6,45,1,341,272,166,9,1184
1.6,24,8,58,626,325,9,1164
1.6,45,8,42,146,119,9,1139
1.7,45,8,586,384,137,9,1078
1.6,45,10,277,534,524,9,1023
1.6,45,15,281,293,319,9,1962
1.6,21,8,423,165,321,9,926
1.6,45,8,459,303,452,9,877
1.6,25,4,227,79,389,9,861
1.6,45,4,143,505,576,9,800
1.6,45,8,459,356,404,9,786
1.6,45,12,579,49,69,9,779
1.59,36,3,269,30,0,9,2837
1.57,45,9,356,422,72,9,909
1.55,8,8,249,511,397,9,1970
1.55,8,9,117,127,563,9,1263
1.55,8,14,460,617,264,9,1216
1.55,43,15,107,66,384,9,1141
1.53,45,12,311,505,217,9,1183
1.52,8,13,119,514,603,9,2519
1.52,8,6,29,145,92,9,1994
1.51,8,14,268,454,361,9,855
1.5,45,5,459,245,0,9,4207
1.5,13,8,134,163,304,9,800
1.5,45,10,335,56,175,9,730
1.5,8,16,220,460,0,9,3347
1.5,8,6,570,61,0,9,3046
1.5,44,2,564,20,587,9,3005
1.5,8,5,29,135,605,9,2625
1.5,8,7,533,295,470,9,2481
1.5,8,16,362,123,291,9,2479
1.5,8,6,321,108,470,9,2270
1.5,8,3,489,383,539,9,2156
1.5,45,2,483,0,0,9,2066
1.5,45,8,371,221,229,9,1886
1.5,45,12,290,367,469,9,1368
1.5,45,12,383,19,547,9,1339
1.5,45,10,346,369,3,9,1304
1.5,45,14,444,381,272,9,1261
1.5,45,4,358,103,80,9,1245
1.5,45,8,459,631,174,9,1178
2.0,45,8,163,92,7,9,1172
1.5,16,9,168,178,314,9,1162
1.5,22,9,40,444,24,9,1158
1.5,8,15,489,146,142,9,1143
1.5,45,12,434,453,486,9,1129
1.5,45,12,348,307,441,9,1122
1.5,7,3,306,495,547,9,1116
1.5,1,12,197,303,74,9,1113
1.5,45,8,280,148,406,9,1107
1.5,45,8,234,510,234,9,1240
1.5,45,12,546,339,213,9,1066
1.5,44,5,457,501,65,9,1065
1.5,45,4,136,303,197,9,1065
1.5,41,8,44,130,87,9,1053
1.5,45,12,491,258,97,9,1051
1.5,45,12,386,303,533,9,1050
1.5,45,12,280,531,127,9,1029
1.5,45,8,18,448,225,9,1035
1.5,45,12,399,300,0,9,1009
1.5,19,10,130,19,303,9,1009
1.5,45,14,200,471,534,9,1070
1.5,5,6,435,601,498,9,974
1.5,45,12,101,99,599,9,962
1.5,45,12,14,87,460,9,972
1.5,22,14,456,520,56,9,954
1.5,45,6,316,225,187,9,948
1.5,16,8,273,187,216,9,940
1.5,14,1,14,311,547,9,932
1.5,45,10,459,246,256,9,927
1.5,19,15,305,417,423,9,920
1.5,45,15,227,429,192,9,968
1.5,45,12,41,24,343,9,911
1.5,45,6,434,417,481,9,903
1.5,45,8,482,526,0,9,1179
1.5,45,8,162,291,339,9,863
1.5,45,13,78,107,217,9,842
